timestamp,target_threshold,count,avg_duration_s,min_duration_s,max_duration_s,avg_expiry_s,avg_start_price,avg_end_price
2026-01-07T22:09:40.976Z,0.95,4,21.6,0.8,74.6,21,0.430,0.965
2026-01-07T22:10:40.975Z,0.8,19,55.2,0.2,88.0,155,0.459,0.857
2026-01-07T22:10:40.975Z,0.9,10,51.0,0.8,83.7,70,0.440,0.921
2026-01-07T22:10:40.975Z,0.95,4,21.6,0.8,74.6,21,0.430,0.965
2026-01-07T22:11:40.975Z,0.8,19,55.2,0.2,88.0,155,0.459,0.857
2026-01-07T22:11:40.975Z,0.9,10,51.0,0.8,83.7,70,0.440,0.921
2026-01-07T22:11:40.975Z,0.95,4,21.6,0.8,74.6,21,0.430,0.965
2026-01-07T22:12:40.977Z,0.8,19,55.2,0.2,88.0,155,0.459,0.857
2026-01-07T22:12:40.977Z,0.9,10,51.0,0.8,83.7,70,0.440,0.921
2026-01-07T22:12:40.977Z,0.95,4,21.6,0.8,74.6,21,0.430,0.965
2026-01-07T22:13:40.978Z,0.8,19,55.2,0.2,88.0,155,0.459,0.857
2026-01-07T22:13:40.978Z,0.9,10,51.0,0.8,83.7,70,0.440,0.921
2026-01-07T22:13:40.978Z,0.95,4,21.6,0.8,74.6,21,0.430,0.965
2026-01-07T22:14:40.979Z,0.8,19,55.2,0.2,88.0,155,0.459,0.857
2026-01-07T22:14:40.979Z,0.9,10,51.0,0.8,83.7,70,0.440,0.921
2026-01-07T22:14:40.979Z,0.95,4,21.6,0.8,74.6,21,0.430,0.965
2026-01-07T22:15:40.981Z,0.8,19,55.2,0.2,88.0,155,0.459,0.857
2026-01-07T22:15:40.981Z,0.9,10,51.0,0.8,83.7,70,0.440,0.921
2026-01-07T22:15:40.981Z,0.95,4,21.6,0.8,74.6,21,0.430,0.965
2026-01-07T22:16:40.982Z,0.8,19,55.2,0.2,88.0,155,0.459,0.857
2026-01-07T22:16:40.982Z,0.9,10,51.0,0.8,83.7,70,0.440,0.921
2026-01-07T22:16:40.982Z,0.95,4,21.6,0.8,74.6,21,0.430,0.965
