timestamp,row_type,symbol,timeframe,samples,hits_le_0.9,hits_le_0.95,hits_le_0.98,hits_le_0.985,hits_le_0.99,hits_le_0.995,avg_yes_le_0.9,avg_no_le_0.9,avg_yes_le_0.95,avg_no_le_0.95,avg_yes_le_0.98,avg_no_le_0.98,avg_yes_le_0.985,avg_no_le_0.985,avg_yes_le_0.99,avg_no_le_0.99,avg_yes_le_0.995,avg_no_le_0.995
2026-01-04T16:07:51.308Z,symbol,sol,15m,1786,0,0,12,12,25,25,,,,,0.5525,0.4250,0.5525,0.4250,0.5887,0.3957,0.5887,0.3957
2026-01-04T16:08:51.309Z,all,,,22987,0,5,63,63,198,203,,,0.5220,0.4240,0.5841,0.3895,0.5841,0.3895,0.6307,0.3541,0.6395,0.3454
2026-01-04T16:08:51.309Z,symbol,btc,15m,13798,0,0,19,19,90,93,,,,,0.5718,0.4055,0.5718,0.4055,0.6078,0.3796,0.6106,0.3769
2026-01-04T16:08:51.309Z,symbol,eth,15m,6081,0,2,26,26,64,66,,,0.5775,0.3700,0.6397,0.3329,0.6397,0.3329,0.6351,0.3477,0.6390,0.3440
2026-01-04T16:08:51.309Z,symbol,xrp,15m,1256,0,3,6,6,18,18,,,0.4600,0.4854,0.4610,0.4957,0.4610,0.4957,0.4178,0.5605,0.4178,0.5605
2026-01-04T16:08:51.309Z,symbol,sol,15m,1852,0,0,12,12,26,26,,,,,0.5554,0.4223,0.5554,0.4223,0.5995,0.3852,0.5995,0.3852
2026-01-04T16:09:51.309Z,all,,,24254,0,5,69,69,212,217,,,0.5220,0.4240,0.5632,0.4106,0.5632,0.4106,0.6101,0.3746,0.6189,0.3660
2026-01-04T16:09:51.309Z,symbol,btc,15m,14630,0,0,23,23,100,103,,,,,0.5502,0.4268,0.5502,0.4268,0.6002,0.3871,0.6025,0.3848
2026-01-04T16:09:51.309Z,symbol,eth,15m,6382,0,2,27,27,67,69,,,0.5567,0.3900,0.6361,0.3360,0.6361,0.3360,0.6292,0.3534,0.6325,0.3502
2026-01-04T16:09:51.309Z,symbol,xrp,15m,1320,0,3,6,6,18,18,,,0.4573,0.4880,0.4552,0.5020,0.4552,0.5020,0.4060,0.5726,0.4060,0.5726
2026-01-04T16:09:51.309Z,symbol,sol,15m,1922,0,0,13,13,27,27,,,,,0.5669,0.4110,0.5669,0.4110,0.6112,0.3738,0.6112,0.3738
2026-01-04T16:10:51.310Z,all,,,25782,0,5,78,78,230,235,,,0.5220,0.4240,0.5450,0.4291,0.5450,0.4291,0.5961,0.3885,0.6045,0.3802
2026-01-04T16:10:51.310Z,symbol,btc,15m,15474,0,0,26,26,106,109,,,,,0.5289,0.4479,0.5289,0.4479,0.5910,0.3961,0.5929,0.3942
2026-01-04T16:10:51.310Z,symbol,eth,15m,6836,0,2,32,32,76,78,,,0.5463,0.4000,0.6241,0.3479,0.6241,0.3479,0.6184,0.3640,0.6212,0.3613
2026-01-04T16:10:51.310Z,symbol,xrp,15m,1406,0,3,6,6,18,18,,,0.4553,0.4900,0.4510,0.5066,0.4510,0.5066,0.3975,0.5813,0.3975,0.5813
2026-01-04T16:10:51.310Z,symbol,sol,15m,2066,0,0,14,14,30,30,,,,,0.5845,0.3936,0.5845,0.3936,0.6296,0.3555,0.6296,0.3555
2026-01-04T16:11:51.310Z,all,,,27074,0,5,79,79,233,238,,,0.5220,0.4240,0.5414,0.4328,0.5414,0.4328,0.5945,0.3901,0.6029,0.3819
2026-01-04T16:11:51.310Z,symbol,btc,15m,16178,0,0,26,26,106,109,,,,,0.5143,0.4622,0.5143,0.4622,0.5842,0.4027,0.5860,0.4010
2026-01-04T16:11:51.310Z,symbol,eth,15m,7256,0,2,33,33,78,80,,,0.5400,0.4060,0.6131,0.3589,0.6131,0.3589,0.6085,0.3739,0.6110,0.3715
2026-01-04T16:11:51.310Z,symbol,xrp,15m,1480,0,3,6,6,18,18,,,0.4537,0.4916,0.4479,0.5100,0.4479,0.5100,0.3911,0.5878,0.3911,0.5878
2026-01-04T16:11:51.310Z,symbol,sol,15m,2160,0,0,14,14,31,31,,,,,0.5984,0.3800,0.5984,0.3800,0.6466,0.3387,0.6466,0.3387
2026-01-04T16:12:51.311Z,all,,,28050,0,5,79,80,235,240,,,0.5220,0.4240,0.5414,0.4328,0.5463,0.4280,0.5974,0.3872,0.6056,0.3792
2026-01-04T16:12:51.311Z,symbol,btc,15m,16788,0,0,26,26,106,109,,,,,0.5038,0.4726,0.5038,0.4726,0.5791,0.4077,0.5807,0.4062
2026-01-04T16:12:51.311Z,symbol,eth,15m,7426,0,2,33,33,78,80,,,0.5358,0.4100,0.6051,0.3669,0.6051,0.3669,0.6012,0.3811,0.6034,0.3790
2026-01-04T16:12:51.311Z,symbol,xrp,15m,1560,0,3,6,6,18,18,,,0.4524,0.4929,0.4454,0.5127,0.4454,0.5127,0.3862,0.5929,0.3862,0.5929
2026-01-04T16:12:51.311Z,symbol,sol,15m,2276,0,0,14,15,33,33,,,,,0.6095,0.3690,0.6171,0.3614,0.6648,0.3207,0.6648,0.3207
2026-01-04T16:13:51.312Z,all,,,29200,0,5,82,83,250,255,,,0.5220,0.4240,0.5293,0.4450,0.5341,0.4402,0.5778,0.4070,0.5859,0.3990
